"otázka","odpověď"
"Co je operační systém?","Operační systém je základní software, který zprostředkovává komunikaci mezi uživatelem a hardwarem počítače."
"Jaké jsou úkoly operačního systému?","Operační systém umožňuje komunikaci uživatele s počítačem, správu dat a hardwarových zdrojů a poskytuje prostředí pro spuštění programů."
"Co znamená správa procesorů v operačním systému?","Správa procesorů zahrnuje vytváření, rušení, potlačení a obnovu procesů, stejně jako výběr aktuálního procesu."
"Co je správa paměti v operačním systému?","Správa paměti znamená přidělování paměti procesům a řízení jejího využívání, často za použití techniky swapování."
"Jaké jsou služby operačního systému?","Mezi služby operačního systému patří správa procesorů, paměti, souborů, vstupně/výstupního systému, sítí, ochrany a interpretace příkazů."
"Co je monotasking?","Monotasking znamená zpracování jedné úlohy najednou, což má nižší nároky na hardware."
"Co je multitasking?","Multitasking umožňuje paralelní zpracování více úloh, což je efektivnější, ale náročnější na hardware."
"Jaké jsou typy multitaskingu?","Typy multitaskingu zahrnují kooperativní multitasking, preemptivní multitasking, multithreading a multiprocesoring."
"Co je kooperativní multitasking?","Kooperativní multitasking umožňuje práci s více aplikacemi, ale běží vždy jen ta v popředí."
"Co je preemptivní multitasking?","Preemptivní multitasking odděluje aplikace v paměti, aby pád jedné neovlivnil ostatní, a procesorový čas řídí operační systém."
"Co je multithreading?","Multithreading rozděluje procesy na vlákna, což umožňuje efektivní paralelní zpracování jednotlivých částí aplikací."
"Co je multiprocesoring?","Multiprocesoring znamená paralelní zpracování více úloh díky přítomnosti více procesorů."
"Jaké jsou hlavní typy operačních systémů?","Operační systémy lze rozdělit dle výrobce, zařízení, uživatelského rozhraní, zpracování procesů a počtu uživatelů."
"Co je GUI?","GUI je grafické uživatelské rozhraní, které umožňuje intuitivní ovládání operačního systému."
"Co je příkazová řádka?","Příkazová řádka je textové rozhraní operačního systému, umožňující uživateli zadávat příkazy."
"Co je monouser operační systém?","Monouser operační systém je určený pro práci jednoho uživatele bez ochrany přístupu k datům."
"Co je multiuser operační systém?","Multiuser operační systém umožňuje práci více uživatelů současně, přičemž chrání jejich data a umožňuje sdílení zdrojů."
"Jaké byly hlavní vlastnosti MS-DOS?","MS-DOS byl jednoúlohový systém s příkazovým řádkem určený pro PC s nízkými hardwarovými nároky."
"Jaké byly vlastnosti Windows 3.11?","Windows 3.11 byl víceúlohový systém s kooperativním multitaskingem a jednoduchým grafickým prostředím."
"Co je chráněný režim procesoru?","Chráněný režim procesoru umožňuje pokročilou správu paměti a bezpečné oddělení paměťových prostorů jednotlivých procesů."
"Jaké nové funkce přinesly Windows Vista?","Windows Vista přinesly funkce jako Windows Aero, Windows Sidebar, rodičovskou kontrolu, podporu touchscreen a další."
"Jaký je rozdíl mezi GUI a TUI?","GUI je grafické uživatelské rozhraní, zatímco TUI je textové uživatelské rozhraní."
"Co je interpret příkazů v operačním systému?","Interpret příkazů je program, který čte a provádí příkazy uživatele."
"Jak operační systém spravuje soubory?","Operační systém vytváří a ruší soubory, umožňuje jejich manipulaci a poskytuje adresářovou strukturu."
"Co znamená správa vstupně/výstupního systému?","Správa vstupně/výstupního systému zajišťuje komunikaci mezi hardwarem a programy, často pomocí ovladačů."
"Co je ochrana operačního systému?","Ochrana v operačním systému zajišťuje kontrolu přístupu k systémovým a uživatelským zdrojům."
"Jaké jsou typy procesorů v souvislosti s operačním systémem?","Typy procesorů zahrnují 8086, 80286, 80386, 80486, Pentium až i7, každý s různou podporou multitaskingu a paměti."
"Co je reálný režim procesoru?","Reálný režim procesoru umožňuje práci s pamětí do 1MiB bez pokročilých funkcí správy paměti."
